unique_id,timestamp,y_pred,y_proba,query,model_version,runtime
753fa2cd-d191-4d1b-b95a-d87a733b888c,1608215808.8840537,[131633.28392],None,2018-01-27,0.1,000:00:43
41b4af31-ec96-41eb-8d4b-0a47fa8f8ce1,1608215845.4129362,[131633.28392],None,2018-01-28,0.1,000:00:36
961875d4-f4e1-4dcc-870e-b66f27c44738,1608215890.9501264,[141851.70288],None,2018-01-29,0.1,000:00:45
8b409aa3-31c8-4dcf-afff-d2e68840a077,1608216378.8212023,[137120.9772],None,2018-12-17,0.1,000:00:30
562bd7a5-f932-427c-8326-56d6f683b07c,1608216417.7118237,[150359.474],None,2018-07-26,0.1,000:00:38
f4a323d4-ab53-43be-8798-d11c524549ef,1608216460.3394275,[202017.12272],None,2018-03-19,0.1,000:00:42
2e8fda4b-f8eb-410d-bb07-758b21c2d7bc,1608216499.5204964,[334482.366],None,2018-09-17,0.1,000:00:39
9bc2f1c9-86d7-4a46-9262-351dfb95427d,1608216540.8128395,[296521.54804],None,2018-09-20,0.1,000:00:41
28add8bb-35ba-43a4-8930-172f5ce105b6,1608216582.79559,[398099.3544],None,2018-11-29,0.1,000:00:41
177c2632-3bc2-4edc-9ecc-d553d8176118,1608216627.8936996,[150430.3028],None,2018-08-01,0.1,000:00:45
5208888c-fc48-416f-b683-0f38d418b090,1608216674.2456095,[272073.37328],None,2018-09-04,0.1,000:00:46
bcc7abf5-dea0-45d8-9de4-60f07360d3f6,1608216717.9615855,[229043.381],None,2018-03-12,0.1,000:00:43
326a213a-b285-43ad-be69-75f5a41ae6b0,1608216760.5527442,[159201.20096],None,2019-03-21,0.1,000:00:42
ce303b10-bcc1-4d55-a402-7a172c6df52b,1608220533.9122498,[116990.30928],None,2018-04-19,0.1,000:00:31
de6003d3-dcb0-4152-9329-8e9455618f60,1608220567.1391575,[245533.06224],None,2018-03-03,0.1,000:00:33
deba4c88-0848-44b9-9c36-77bec810b445,1608220600.6226509,[326831.18484],None,2018-09-16,0.1,000:00:33
c3a42f28-12e0-4c03-945d-e80a5aa14db0,1608220635.5429842,[147639.0052],None,2017-12-02,0.1,000:00:34
557e73e7-b1c0-43b1-9271-e714013743a3,1608220672.142361,[239516.04688],None,2018-02-20,0.1,000:00:36
a432a381-edf4-48ca-9773-6017abd323db,1608220706.3386006,[219848.27488],None,2018-10-03,0.1,000:00:34
28dd73d4-5380-4980-a816-b704c939f841,1608220740.7722971,[135666.6112],None,2019-01-21,0.1,000:00:34
91861b34-92ab-44dc-8e1c-5ed3c458e65e,1608220775.9260972,[387885.2528],None,2018-11-30,0.1,000:00:35
f4716dbb-de24-43f0-af15-e4554f85a2ca,1608220812.6284935,[195489.15156],None,2019-04-22,0.1,000:00:36
10b34205-474e-4c25-ab46-53a9861227b0,1608220846.3963747,[161756.9152],None,2019-03-02,0.1,000:00:33
74308be7-bcb9-4dee-b609-3cf3ca6340da,1608220879.8462706,[102873.6652],None,2018-06-20,0.1,000:00:33
d48f9bef-841c-4cc0-89ce-047366ed0757,1608220914.131587,[171069.0672],None,2019-03-05,0.1,000:00:34
90f03636-22c9-40cd-99d6-e3ad4031ca5b,1608220948.656466,[152890.1652],None,2018-07-30,0.1,000:00:34
00087526-20d4-4b0e-9777-073dc515fea7,1608220982.9658992,[145642.66],None,2018-06-16,0.1,000:00:34
0ae185f9-d519-4a05-b7a4-e94a1959526b,1608221016.457173,[102984.65916],None,2018-07-09,0.1,000:00:33
753d1f6c-47f1-4911-8410-0b6c69688abb,1608221050.989104,[239762.9066],None,2018-10-11,0.1,000:00:34
1da456e6-38c6-4ccc-a031-ac05404e98de,1608221084.714823,[198256.7608],None,2019-05-28,0.1,000:00:33
06d913fe-2c61-480d-83ca-778f00544558,1608221118.6741939,[221269.0976],None,2018-06-07,0.1,000:00:33
91f1173e-5ec5-4fa5-8a7b-fc4d6629ca99,1608221153.2735517,[295960.11204],None,2018-09-19,0.1,000:00:34
59d068ec-8366-436a-9100-26a66b0248c5,1608221187.8637736,[148248.75144],None,2018-08-09,0.1,000:00:34
7f7c79dd-6091-4980-bb45-410b33699f43,1608221221.994691,[123193.12348],None,2018-03-29,0.1,000:00:34
6241c29d-fbbe-4baf-8249-4811a3a937ff,1608221256.6364393,[153995.82768],None,2018-02-09,0.1,000:00:34
67919d2e-61c2-437d-9925-2afb1e6eff26,1608221291.66039,[171280.16728],None,2019-03-12,0.1,000:00:35
2df00c44-b539-46f4-9b58-640b01e71e49,1608221326.389104,[175448.79364],None,2019-03-04,0.1,000:00:34
1afb595c-29b8-4650-ab45-93b01a6acd93,1608221358.5753934,[165298.96056],None,2019-05-08,0.1,000:00:32
0c7e2ce0-db9c-4b2d-a61e-85ff64dbf1e8,1608221393.2439375,[167903.60044],None,2018-12-25,0.1,000:00:34
ac50b3cc-eaa4-42b0-84cc-8684ff610a81,1608221425.993223,[217014.79564],None,2018-05-26,0.1,000:00:32
54ea2b68-2ae7-47d8-9725-a5ea13e8fc85,1608221458.4057689,[219848.27488],None,2018-10-03,0.1,000:00:32
2f3b8eca-7ad5-4784-92f8-04b646bb9ef6,1608221490.6026802,[135575.41452],None,2018-02-04,0.1,000:00:32
f874ddbe-1a6e-4be9-b014-41f981d49bac,1608221523.8393724,[180734.13412],None,2017-11-29,0.1,000:00:33
3c125acc-3c10-4db7-b6d2-f53965ea2a67,1608221556.3943522,[287647.26968],None,2018-09-09,0.1,000:00:32
6e6c730b-25b0-414c-a5da-826659b6050d,1608221588.974497,[181346.84144],None,2018-08-15,0.1,000:00:32
7aff3516-212e-47ce-a20e-1db5a80a5432,1608221621.6847851,[154282.89],None,2018-05-09,0.1,000:00:32
3a92cf0e-24f9-45af-a13c-011ef4cad115,1608221655.1399398,[286195.25632],None,2018-10-27,0.1,000:00:33
a1037818-c5f1-47d2-a0ab-b86726aebec1,1608221687.2995763,[226307.8012],None,2018-06-02,0.1,000:00:32
04a44b15-bb72-48a9-8e83-dee52352f0dd,1608221718.6792142,[296521.54804],None,2018-09-20,0.1,000:00:31
3b924787-8b4f-4c76-b4a5-fe3ef3b36aeb,1608221749.7205963,[159783.59232],None,2018-01-20,0.1,000:00:31
f7a336b2-3157-46f8-8d78-9a67dd967205,1608221780.7728066,[131633.28392],None,2018-01-28,0.1,000:00:31
15863acf-7408-403d-a0f7-d048eceb8966,1608221811.827717,[267858.2316],None,2018-09-30,0.1,000:00:31
751da8af-5ca3-43f5-a688-b84005e4a771,1608221842.9809434,[134760.806],None,2019-01-27,0.1,000:00:31
19c80822-9ef4-4e04-b379-44146b443494,1608221874.634167,[267371.059],None,2018-09-03,0.1,000:00:31
1e1948f0-bab7-4773-98ab-a52314a765b2,1608221905.6743536,[142569.39408],None,2018-04-11,0.1,000:00:31
5c10a652-83ca-45d8-b42a-05d59612dab3,1608221936.812674,[297291.80712],None,2018-09-07,0.1,000:00:31
483e058c-cf3a-492d-a679-36face5f36fa,1608221967.757862,[228388.4136],None,2018-05-28,0.1,000:00:30
6b8d7efc-bdad-4262-8164-17c59a859b5e,1608221998.7256193,[160823.40196],None,2018-02-13,0.1,000:00:30
779944d7-ea77-4d3b-9f2e-3351e4888add,1608222029.5231323,[193623.32644],None,2019-05-30,0.1,000:00:30
038aeaff-1eae-4361-9e6d-cf876af15765,1608222060.6492147,[150430.1878],None,2019-04-01,0.1,000:00:31
e8032e8d-085e-4068-9024-dd13241f9ef3,1608222091.5206153,[456849.848],None,2018-11-26,0.1,000:00:30
cbac7dab-bc5b-49cc-86f9-3b459e0673cc,1608222122.8512366,[116085.38668],None,2018-04-18,0.1,000:00:31
805b6886-c08c-4319-aa42-1874dfb9fcee,1608222153.9681635,[224247.17],None,2018-03-06,0.1,000:00:31
dee2aea8-48aa-422a-b97e-de2c11ebf47f,1608222185.070842,[96619.8628],None,2018-06-26,0.1,000:00:31
09c29ec5-0ec1-41ec-9e34-06a4415e98a4,1608222216.681088,[102764.69572],None,2017-12-21,0.1,000:00:31
688d2cbf-decf-4695-a500-8415ff3ce382,1608222248.021782,[251603.06768],None,2018-02-22,0.1,000:00:31
856ab6bc-2026-49b8-bca0-c387ccb54f51,1608222279.570335,[167903.60044],None,2018-12-25,0.1,000:00:31
d470003b-d1c2-4bd8-b003-c44f0520b33f,1608222311.5401351,[143511.46492],None,2018-01-26,0.1,000:00:31
6fa85eb3-8a4f-4847-b15c-254b54f4b26e,1608222343.3541973,[163274.47776],None,2019-02-15,0.1,000:00:31
5828520f-8fc1-4644-817e-5cc365e5fbf1,1608222374.6923227,[160823.40196],None,2018-02-13,0.1,000:00:31
fd59244b-ce04-4b16-90cd-523afb6f7b53,1608222406.1484625,[355565.6096],None,2018-12-03,0.1,000:00:31
ecdd63e1-e444-4fda-a3d5-da5a7dbc66ba,1608222437.961001,[217014.79564],None,2018-05-26,0.1,000:00:31
3dbfe005-0c75-4606-9843-dd72c5cd86f5,1608222469.9230843,[140379.32204],None,2019-01-08,0.1,000:00:31
ffa03b4b-dec5-45a0-97a4-84927f3c5c8c,1608222501.2232091,[275290.6248],None,2018-09-27,0.1,000:00:31
2dbc4eba-0263-425e-9302-5f80020ca44c,1608222532.781729,[102873.6652],None,2018-06-20,0.1,000:00:31
324634db-e578-4334-ac9a-1befd127b0f5,1608222564.8308592,[207551.20524],None,2018-10-05,0.1,000:00:32
2bd512e6-0a22-4d73-bbb5-8f45d3f1e45c,1608222596.20843,[145377.9288],None,2019-02-07,0.1,000:00:31
2ad92dea-818f-424a-9f3f-52028f303100,1608222627.730598,[149101.8844],None,2018-12-14,0.1,000:00:31
f61dbc11-70d0-4a6f-a74c-f638083e1576,1608222659.3666298,[126135.95456],None,2018-03-28,0.1,000:00:31
f93ac23a-b88a-44a0-960a-920c65c90acf,1608222690.960307,[232804.30072],None,2018-10-15,0.1,000:00:31
eaeddc42-503d-4559-9282-23baf8cd0877,1608222722.5588164,[123193.12348],None,2018-03-29,0.1,000:00:31
404c13d2-386b-48d2-b0c0-1bf57d312a5c,1608222753.9183547,[146523.9868],None,2018-05-05,0.1,000:00:31
91db1d8d-152d-41f0-a5b9-582f135a08e1,1608222785.5994642,[144150.1504],None,2018-08-11,0.1,000:00:31
867e23d9-bb2b-413d-9b00-b045bae6b7fb,1608222816.8923752,[284521.03004],None,2018-09-10,0.1,000:00:31
bac3bbe3-29c0-45a1-a2e8-151e148b5685,1608222848.4011497,[228828.4512],None,2018-05-20,0.1,000:00:31
799d8723-9a57-41ce-89da-b5e59b0656c9,1608222879.9048188,[147786.2768],None,2018-05-03,0.1,000:00:31
5273e70a-a5fb-4cd4-9967-1671483ab5c6,1608222911.270737,[147065.0604],None,2018-05-02,0.1,000:00:31
8842c0a7-337e-47e8-bc79-469b7337d0ec,1608222942.7400694,[140701.2024],None,2018-07-17,0.1,000:00:31
e4eedb6d-83e4-4a4f-bc68-aa9d2aa7b9e8,1608222974.3329718,[130614.53364],None,2019-01-15,0.1,000:00:31
4def7572-fee2-4377-a647-a6e8b516f971,1608223005.508811,[218216.44004],None,2018-05-25,0.1,000:00:31
8d15349a-1aee-4c78-8c8c-2b3f6efa8725,1608223037.2409384,[176364.2918],None,2018-03-25,0.1,000:00:31
543ec9fb-85b3-4311-ae02-9669ce3260fd,1608223073.2686079,[160774.49808],None,2018-01-18,0.1,000:00:36
f1dfc4ef-210d-4c0b-a8c2-92125e80f24c,1608223107.5986018,[158262.07564],None,2018-08-07,0.1,000:00:34
96b9552f-e326-482f-9250-a50c4c91c240,1608223143.576656,[307776.0366],None,2018-09-11,0.1,000:00:35
d1d52293-42b1-49c8-a081-637beb89439a,1608223178.447719,[149533.7628],None,2019-01-04,0.1,000:00:34
